"","Department","Position","Place.of.Residence","PositionID"
"1","Administrative Services, Department of","ACCOUNTANT 2","POLK",1
"2","Administrative Services, Department of","ACCOUNTANT 2","WARREN",2
"3","Administrative Services, Department of","ACCOUNTANT 3","POLK",3
"4","Administrative Services, Department of","ACCOUNTANT 4","MADISON",4
"5","Administrative Services, Department of","ACCOUNTANT 4","POLK",5
"6","Administrative Services, Department of","ACCOUNTANT 4","WARREN",6
"7","Administrative Services, Department of","ACCOUNTING CLERK 1","POLK",7
"8","Administrative Services, Department of","ACCOUNTING CLERK 2","POLK",8
"9","Administrative Services, Department of","ACCOUNTING TECHNICIAN 2","DALLAS",9
"10","Administrative Services, Department of","ACCOUNTING TECHNICIAN 2","JEFFERSON",10
"11","Administrative Services, Department of","ACCOUNTING TECHNICIAN 2","MARION",11
"12","Administrative Services, Department of","ACCOUNTING TECHNICIAN 2","POLK",12
"13","Administrative Services, Department of","ACCOUNTING TECHNICIAN 3","BOONE",13
"14","Administrative Services, Department of","ACCOUNTING TECHNICIAN 3","POLK",14
"15","Administrative Services, Department of","ACCOUNTING TECHNICIAN 3","WARREN",15
"16","Administrative Services, Department of","ADMIN ASSISTANT 1","DALLAS",16
"17","Administrative Services, Department of","ADMIN ASSISTANT 1","POLK",17
"18","Administrative Services, Department of","ADMIN ASSISTANT 2","POLK",18
"19","Administrative Services, Department of","ADMIN INTERN","",19
"20","Administrative Services, Department of","ADMIN INTERN","POLK",20
"21","Administrative Services, Department of","ADMIN INTERN","STORY",21
"22","Administrative Services, Department of","ADVANCED PERSONNEL MGMT","DALLAS",22
"23","Administrative Services, Department of","ADVANCED PERSONNEL MGMT","JASPER",23
"24","Administrative Services, Department of","ADVANCED PERSONNEL MGMT","JOHNSON",24
"25","Administrative Services, Department of","ADVANCED PERSONNEL MGMT","MILLS",25
"26","Administrative Services, Department of","ADVANCED PERSONNEL MGMT","MITCHELL",26
"27","Administrative Services, Department of","ADVANCED PERSONNEL MGMT","POLK",27
"28","Administrative Services, Department of","ADVANCED PERSONNEL MGMT","STORY",28
"29","Administrative Services, Department of","ADVANCED PERSONNEL MGMT","WOODBURY",29
"30","Administrative Services, Department of","ARCHITECTURAL TECHNICIAN","JASPER",30
"31","Administrative Services, Department of","ARCHITECTURAL TECHNICIAN","POLK",31
"32","Administrative Services, Department of","ATTORNEY 2","POLK",32
"33","Administrative Services, Department of","ATTORNEY 2","STORY",33
"34","Administrative Services, Department of","ATTORNEY 3","MADISON",34
"35","Administrative Services, Department of","ATTORNEY 3","POLK",35
"36","Administrative Services, Department of","AUTOMOTIVE SERVICE WORKE","POLK",36
"37","Administrative Services, Department of","AUTOMOTIVE SHOP SUPERVIS","POLK",37
"38","Administrative Services, Department of","BINDERY WORKER","POLK",38
"39","Administrative Services, Department of","BOARD, COMM, COUNCIL MEM","POLK",39
"40","Administrative Services, Department of","BUDGET ANALYST 2","POLK",40
"41","Administrative Services, Department of","BUDGET ANALYST 3","POLK",41
"42","Administrative Services, Department of","BUDGET ANALYST 3","UNION",42
"43","Administrative Services, Department of","BUDGET ANALYST 3","WARREN",43
"44","Administrative Services, Department of","CAPITOL TOUR GUIDE","POLK",44
"45","Administrative Services, Department of","CARPENTER 1","POLK",45
"46","Administrative Services, Department of","CARPENTER 1","WARREN",46
"47","Administrative Services, Department of","CARPENTER 2","POLK",47
"48","Administrative Services, Department of","CARPENTER 2","WARREN",48
"49","Administrative Services, Department of","CHIEF INFORMATION OFFICE","POLK",49
"50","Administrative Services, Department of","CHIEF INFORMATION OFFICE       13","POLK",50
"51","Administrative Services, Department of","CLERK","POLK",51
"52","Administrative Services, Department of","CLERK-ADVANCED","POLK",52
"53","Administrative Services, Department of","CLERK-SPECIALIST","MADISON",53
"54","Administrative Services, Department of","CLERK-SPECIALIST","WARREN",54
"55","Administrative Services, Department of","CONSTRUCTION TECHNICIAN","POLK",55
"56","Administrative Services, Department of","CONSTRUCTION/DESIGN ENGI","BOONE",56
"57","Administrative Services, Department of","CONSTRUCTION/DESIGN ENGI","MONROE",57
"58","Administrative Services, Department of","CONSTRUCTION/DESIGN ENGN","GUTHRIE",58
"59","Administrative Services, Department of","CONSTRUCTION/DESIGN ENGN","MADISON",59
"60","Administrative Services, Department of","CONSTRUCTION/DESIGN ENGN","POLK",60
"61","Administrative Services, Department of","CORRECTIONAL COUNSELOR","POLK",61
"62","Administrative Services, Department of","CUSTODIAL LEADER","POLK",62
"63","Administrative Services, Department of","CUSTODIAL SUPERVISOR","POLK",63
"64","Administrative Services, Department of","CUSTODIAL WORKER","",64
"65","Administrative Services, Department of","CUSTODIAL WORKER","DALLAS",65
"66","Administrative Services, Department of","CUSTODIAL WORKER","MARION",66
"67","Administrative Services, Department of","CUSTODIAL WORKER","POLK",67
"68","Administrative Services, Department of","CUSTODIAL WORKER","WARREN",68
"69","Administrative Services, Department of","DIR DEPT ADMINISTRATIVE","",69
"70","Administrative Services, Department of","DIR DEPT ADMINISTRATIVE","POLK",70
"71","Administrative Services, Department of","DIR DEPT ADMINISTRATIVE","WARREN",71
"72","Administrative Services, Department of","DIR DEPT ADMINISTRATIVE        13","DALLAS",72
"73","Administrative Services, Department of","DISASTER PROJECT SPECIAL","POLK",73
"74","Administrative Services, Department of","DRIVER","POLK",74
"75","Administrative Services, Department of","EARLY OUT POSITION","",75
"76","Administrative Services, Department of","EARLY OUT POSITION","ALLAMAKEE",76
"77","Administrative Services, Department of","EARLY OUT POSITION","APPANOOSE",77
"78","Administrative Services, Department of","EARLY OUT POSITION","BENTON",78
"79","Administrative Services, Department of","EARLY OUT POSITION","BLACK HAWK",79
"80","Administrative Services, Department of","EARLY OUT POSITION","BOONE",80
"81","Administrative Services, Department of","EARLY OUT POSITION","BUCHANAN",81
"82","Administrative Services, Department of","EARLY OUT POSITION","BUENA VISTA",82
"83","Administrative Services, Department of","EARLY OUT POSITION","CALHOUN",83
"84","Administrative Services, Department of","EARLY OUT POSITION","CARROLL",84
"85","Administrative Services, Department of","EARLY OUT POSITION","CEDAR",85
"86","Administrative Services, Department of","EARLY OUT POSITION","CERRO GORDO",86
"87","Administrative Services, Department of","EARLY OUT POSITION","CHEROKEE",87
"88","Administrative Services, Department of","EARLY OUT POSITION","CLAY",88
"89","Administrative Services, Department of","EARLY OUT POSITION","CLAYTON",89
"90","Administrative Services, Department of","EARLY OUT POSITION","CLINTON",90
"91","Administrative Services, Department of","EARLY OUT POSITION","CRAWFORD",91
"92","Administrative Services, Department of","EARLY OUT POSITION","DALLAS",92
"93","Administrative Services, Department of","EARLY OUT POSITION","DECATUR",93
"94","Administrative Services, Department of","EARLY OUT POSITION","DES MOINES",94
"95","Administrative Services, Department of","EARLY OUT POSITION","DICKINSON",95
"96","Administrative Services, Department of","EARLY OUT POSITION","DUBUQUE",96
"97","Administrative Services, Department of","EARLY OUT POSITION","EMMET",97
"98","Administrative Services, Department of","EARLY OUT POSITION","FRANKLIN",98
"99","Administrative Services, Department of","EARLY OUT POSITION","GREENE",99
"100","Administrative Services, Department of","EARLY OUT POSITION","GRUNDY",100
"101","Administrative Services, Department of","EARLY OUT POSITION","GUTHRIE",101
"102","Administrative Services, Department of","EARLY OUT POSITION","HARDIN",102
"103","Administrative Services, Department of","EARLY OUT POSITION","HENRY",103
"104","Administrative Services, Department of","EARLY OUT POSITION","IDA",104
"105","Administrative Services, Department of","EARLY OUT POSITION","IOWA",105
"106","Administrative Services, Department of","EARLY OUT POSITION","JACKSON",106
"107","Administrative Services, Department of","EARLY OUT POSITION","JASPER",107
"108","Administrative Services, Department of","EARLY OUT POSITION","JEFFERSON",108
"109","Administrative Services, Department of","EARLY OUT POSITION","JOHNSON",109
"110","Administrative Services, Department of","EARLY OUT POSITION","JONES",110
"111","Administrative Services, Department of","EARLY OUT POSITION","KOSSUTH",111
"112","Administrative Services, Department of","EARLY OUT POSITION","LEE",112
"113","Administrative Services, Department of","EARLY OUT POSITION","LINN",113
"114","Administrative Services, Department of","EARLY OUT POSITION","LUCAS",114
"115","Administrative Services, Department of","EARLY OUT POSITION","MARION",115
"116","Administrative Services, Department of","EARLY OUT POSITION","MARSHALL",116
"117","Administrative Services, Department of","EARLY OUT POSITION","MILLS",117
"118","Administrative Services, Department of","EARLY OUT POSITION","MITCHELL",118
"119","Administrative Services, Department of","EARLY OUT POSITION","MONTGOMERY",119
"120","Administrative Services, Department of","EARLY OUT POSITION","MUSCATINE",120
"121","Administrative Services, Department of","EARLY OUT POSITION","OBRIEN",121
"122","Administrative Services, Department of","EARLY OUT POSITION","OSCEOLA",122
"123","Administrative Services, Department of","EARLY OUT POSITION","PAGE",123
"124","Administrative Services, Department of","EARLY OUT POSITION","PLYMOUTH",124
"125","Administrative Services, Department of","EARLY OUT POSITION","POLK",125
"126","Administrative Services, Department of","EARLY OUT POSITION","POTTAWATTAMIE",126
"127","Administrative Services, Department of","EARLY OUT POSITION","POWESHIEK",127
"128","Administrative Services, Department of","EARLY OUT POSITION","RINGGOLD",128
"129","Administrative Services, Department of","EARLY OUT POSITION","SAC",129
"130","Administrative Services, Department of","EARLY OUT POSITION","SCOTT",130
"131","Administrative Services, Department of","EARLY OUT POSITION","SIOUX",131
"132","Administrative Services, Department of","EARLY OUT POSITION","STORY",132
"133","Administrative Services, Department of","EARLY OUT POSITION","TAMA",133
"134","Administrative Services, Department of","EARLY OUT POSITION","UNION",134
"135","Administrative Services, Department of","EARLY OUT POSITION","WAPELLO",135
"136","Administrative Services, Department of","EARLY OUT POSITION","WARREN",136
"137","Administrative Services, Department of","EARLY OUT POSITION","WASHINGTON",137
"138","Administrative Services, Department of","EARLY OUT POSITION","WEBSTER",138
"139","Administrative Services, Department of","EARLY OUT POSITION","WINNESHIEK",139
"140","Administrative Services, Department of","EARLY OUT POSITION","WOODBURY",140
"141","Administrative Services, Department of","EARLY OUT POSITION","WRIGHT",141
"142","Administrative Services, Department of","ELECTRICIAN","MADISON",142
"143","Administrative Services, Department of","ELECTRICIAN","POLK",143
"144","Administrative Services, Department of","ELECTRONIC ENGINEER TECH","POLK",144
"145","Administrative Services, Department of","ENERGY MANAGEMENT TECHNI","POLK",145
"146","Administrative Services, Department of","ENVIRONMENTAL ENGINEER","POLK",146
"147","Administrative Services, Department of","EXEC OFF 1","MONROE",147
"148","Administrative Services, Department of","EXEC OFF 1","POLK",148
"149","Administrative Services, Department of","EXEC OFF 2","MADISON",149
"150","Administrative Services, Department of","EXEC OFF 2","POLK",150
"151","Administrative Services, Department of","EXEC OFF 2","WARREN",151
"152","Administrative Services, Department of","EXEC OFF 3","JASPER",152
"153","Administrative Services, Department of","EXEC OFF 3","POLK",153
"154","Administrative Services, Department of","EXEC OFF 3","WARREN",154
"155","Administrative Services, Department of","EXEC OFF 4","MADISON",155
"156","Administrative Services, Department of","EXEC OFF 4","POLK",156
"157","Administrative Services, Department of","EXEC OFF 4","WARREN",157
"158","Administrative Services, Department of","EXEC OFF 5","POLK",158
"159","Administrative Services, Department of","EXEC SECRETARY","POLK",159
"160","Administrative Services, Department of","FISCAL & POLICY ANALYST","CLARKE",160
"161","Administrative Services, Department of","FISCAL & POLICY ANALYST","DALLAS",161
"162","Administrative Services, Department of","FISCAL & POLICY ANALYST","POLK",162
"163","Administrative Services, Department of","FISCAL & POLICY ANALYST","WARREN",163
"164","Administrative Services, Department of","GRAPHIC ARTIST","POLK",164
"165","Administrative Services, Department of","HOUSEKEEPER","POLK",165
"166","Administrative Services, Department of","HR PROFESSIONAL 1","",166
"167","Administrative Services, Department of","HR PROFESSIONAL 1","POLK",167
"168","Administrative Services, Department of","HR PROFESSIONAL 2","CALHOUN",168
"169","Administrative Services, Department of","HR PROFESSIONAL 2","DALLAS",169
"170","Administrative Services, Department of","HR PROFESSIONAL 2","JOHNSON",170
"171","Administrative Services, Department of","HR PROFESSIONAL 2","MITCHELL",171
"172","Administrative Services, Department of","HR PROFESSIONAL 2","POLK",172
"173","Administrative Services, Department of","HR PROFESSIONAL 2","STORY",173
"174","Administrative Services, Department of","HR PROFESSIONAL 2","WOODBURY",174
"175","Administrative Services, Department of","HR PROGRAM COORD","JASPER",175
"176","Administrative Services, Department of","HR PROGRAM COORD","POLK",176
"177","Administrative Services, Department of","HR TECHNICAL ASST","POLK",177
"178","Administrative Services, Department of","HR TECHNICAL SPEC","POLK",178
"179","Administrative Services, Department of","HUMAN RESOURCES ASSOCIAT","POLK",179
"180","Administrative Services, Department of","HUMAN RESOURCES ASSOCIAT","STORY",180
"181","Administrative Services, Department of","HUMAN RESOURCES ASSOCIAT","WARREN",181
"182","Administrative Services, Department of","HUMAN RESOURCES TECHNICA","CLARKE",182
"183","Administrative Services, Department of","HUMAN RESOURCES TECHNICA","POLK",183
